"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT10","WT11","WT14","WT16","WT18"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","35.04189","-106.61545","1618.4","1979-01-01",,,,,,,,,,,,,,
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","35.04189","-106.61545","1618.4","1979-01-02",,,,,,,,,,,,,,
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","35.04189","-106.61545","1618.4","1979-01-03",,,,,,,,,,,,,,
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","35.04189","-106.61545","1618.4","1979-01-04",,,,,,,,,,,,,,
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","35.04189","-106.61545","1618.4","1979-01-05",,,,,,,,,,,,,,"    1"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","35.04189","-106.61545","1618.4","1979-01-06",,,,,,,,,,,,,,"    1"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","35.04189","-106.61545","1618.4","1979-01-07",,,,,,,,,,,,,,"    1"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","35.04189","-106.61545","1618.4","1979-01-08",,,,,,,,,,,,,,
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","35.04189","-106.61545","1618.4","1979-01-09",,,,,,,,,,,,,,
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","35.04189","-106.61545","1618.4","1979-01-10",,,,,,,,,,,,,,
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","35.04189","-106.61545","1618.4","1979-01-11",,,,,,,,,,,,,,
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","35.04189","-106.61545","1618.4","1979-01-12",,,,,,,,,,,,,"    1",
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","35.04189","-106.61545","1618.4","1979-01-13",,,,,,,,,,,,,,
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","35.04189","-106.61545","1618.4","1979-01-14",,,,,,,,,,,,,,
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","35.04189","-106.61545","1618.4","1979-01-15",,,,,,,,,,,,,"    1","    1"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","35.04189","-106.61545","1618.4","1979-01-16",,,,,,,,,,,,,"    1",
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","35.04189","-106.61545","1618.4","1979-01-17",,,,,,,,,,,,,"    1",
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","35.04189","-106.61545","1618.4","1979-01-18","    1",,,,,,,,,,,,"    1",
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","35.04189","-106.61545","1618.4","1979-01-19",,,,,,,,,,,,,,"    1"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","35.04189","-106.61545","1618.4","1979-01-20",,,,,,,,,,,,,,
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","35.04189","-106.61545","1618.4","1979-01-21",,,,,,,,,,,,,,
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","35.04189","-106.61545","1618.4","1979-01-22",,,,,,,,,,,,,,"    1"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","35.04189","-106.61545","1618.4","1979-01-23",,,,,,,,,,,,,,
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","35.04189","-106.61545","1618.4","1979-01-24",,,,,,,,,,,,,,
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","35.04189","-106.61545","1618.4","1979-01-25","    1","    1",,,,,,,,,,,"    1","    1"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","35.04189","-106.61545","1618.4","1979-01-26","    1","    1",,,,,,,,,,,,"    1"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","35.04189","-106.61545","1618.4","1979-01-27",,,,,,,,,,,,,,
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","35.04189","-106.61545","1618.4","1979-01-28",,,,,,,,,,,,,,
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","35.04189","-106.61545","1618.4","1979-01-29",,,,,,,,,,,,,,"    1"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","35.04189","-106.61545","1618.4","1979-01-30",,,,,,,,,,,,,,
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","35.04189","-106.61545","1618.4","1979-01-31",,,,,,,,,,,,,,
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","35.04189","-106.61545","1618.4","1979-02-01",,,,,,,,,,,,,,"    1"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","35.04189","-106.61545","1618.4","1979-02-02",,,,,,,,,,,,,,
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","35.04189","-106.61545","1618.4","1979-02-03",,,,,,,,,,,,,,
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","35.04189","-106.61545","1618.4","1979-02-04",,,,,,,,,,,,,,
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","35.04189","-106.61545","1618.4","1979-02-05",,,,,,,,,,,,,,
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","35.04189","-106.61545","1618.4","1979-02-06",,,,,,,,,,,,,,
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","35.04189","-106.61545","1618.4","1979-02-07",,,,,,,,,,,,,,
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","35.04189","-106.61545","1618.4","1979-02-08",,,,,,,,,,,,,,
